AIP	ENST00000279146
ALK	ENST00000389048
APC	ENST00000257430
ATM	ENST00000278616
BAP1	ENST00000460680
BLM	ENST00000355112
BMPR1A	ENST00000224764
BRCA1	ENST00000357654
BRCA2	ENST00000380152
BRIP1	ENST00000259008
BUB1B	ENST00000287598
CDC73	ENST00000367435
CDH1	ENST00000261769
CDK4	ENST00000257904
CDKN1C	ENST00000414822
CDKN2A	ENST00000530628
CDKN2A	ENST00000304494
CEBPA	ENST00000498907
CEP57	ENST00000325542
CHEK2	ENST00000328354
CYLD	ENST00000311559
DDB2	ENST00000256996
DICER1	ENST00000343455
DIS3L2	ENST00000325385
EGFR	ENST00000275493
EPCAM	ENST00000263735
ERCC2	ENST00000391945
ERCC3	ENST00000285398
ERCC4	ENST00000311895
ERCC5	ENST00000355739
EXT1	ENST00000378204
EXT2	ENST00000395673
EZH2	ENST00000320356
FANCA	ENST00000389301
FANCB	ENST00000398334
FANCC	ENST00000289081
FANCD2	ENST00000287647
FANCE	ENST00000229769
FANCF	ENST00000327470
FANCG	ENST00000378643
FANCI	ENST00000310775
FANCL	ENST00000402135
FANCM	ENST00000267430
FH	ENST00000366560
FLCN	ENST00000285071
GATA2	ENST00000341105
GPC3	ENST00000370818
HNF1A	ENST00000257555
HOXB13	ENST00000290295
HRAS	ENST00000311189
KIT	ENST00000288135
MAX	ENST00000358664
MEN1	ENST00000443283
MET	ENST00000318493
MITF	ENST00000394351
MLH1	ENST00000231790
MSH2	ENST00000233146
MSH6	ENST00000234420
MUTYH	ENST00000450313
NBN	ENST00000265433
NF1	ENST00000358273
NF2	ENST00000338641
NSD1	ENST00000439151
PALB2	ENST00000261584
PHOX2B	ENST00000226382
PMS1	ENST00000441310
PMS2	ENST00000265849
PPM1D	ENST00000305921
PRF1	ENST00000441259
PRKAR1A	ENST00000392710
PTCH1	ENST00000331920
PTEN	ENST00000371953
RAD51C	ENST00000337432
RAD51D	ENST00000345365
RB1	ENST00000267163
RECQL4	ENST00000428558
RET	ENST00000355710
RHBDF2	ENST00000313080
RUNX1	ENST00000437180
SBDS	ENST00000246868
SDHAF2	ENST00000301761
SDHB	ENST00000375499
SDHC	ENST00000367975
SDHD	ENST00000375549
SLX4	ENST00000294008
SMAD4	ENST00000342988
SMARCB1	ENST00000263121
STK11	ENST00000326873
SUFU	ENST00000369902
TMEM127	ENST00000258439
TP53	ENST00000269305
TSC1	ENST00000298552
TSC2	ENST00000219476
VHL	ENST00000256474
WT1	ENST00000332351
WRN	ENST00000298139
XPA	ENST00000375128
XPC	ENST00000285021
BARD1	ENST00000260947
CDKN1B	ENST00000228872
POLE	ENST00000320574
POLD1	ENST00000440232
