# Created by ensembl_prep v1.2.0 based on Ensembl release 75 (genome build GRCh37)
ENSG	GENE	ENST
ENSG00000180008	SOCS4	ENST00000395472
ENSG00000124209	RAB22A	ENST00000244040
ENSG00000064703	DDX20	ENST00000369702
ENSG00000230873	STMND1	ENST00000536551
ENSG00000111671	SPSB2	ENST00000524270
ENSG00000171408	PDE7B	ENST00000308191
ENSG00000164938	TP53INP1	ENST00000342697
ENSG00000196374	HIST1H2BM	ENST00000359465
ENSG00000160161	CILP2	ENST00000291495
ENSG00000110514	MADD	ENST00000311027
ENSG00000247077	PGAM5	ENST00000498926
ENSG00000196376	SLC35F1	ENST00000360388
ENSG00000100147	CCDC134	ENST00000255784
ENSG00000076864	RAP1GAP	ENST00000290101
ENSG00000086015	MAST2	ENST00000361297
ENSG00000248920	USP17L19	ENST00000515566
ENSG00000129351	ILF3	ENST00000449870
ENSG00000168032	ENTPD3	ENST00000301825
ENSG00000167747	C19orf48	ENST00000598463
ENSG00000168036	CTNNB1	ENST00000349496
ENSG00000167740	CYB5D2	ENST00000301391
ENSG00000168038	ULK4	ENST00000301831
ENSG00000167749	KLK4	ENST00000324041
ENSG00000112149	CD83	ENST00000379153
ENSG00000240764	PCDHGC5	ENST00000252087
ENSG00000148053	NTRK2	ENST00000376214
ENSG00000124201	ZNFX1	ENST00000396105
ENSG00000108784	NAGLU	ENST00000225927
ENSG00000243772	KIR2DL3	ENST00000342376
ENSG00000170421	KRT8	ENST00000552150
ENSG00000213995	CARKD	ENST00000309957
ENSG00000087494	PTHLH	ENST00000395872
ENSG00000075388	FGF4	ENST00000168712
ENSG00000268818	AL049747.1	ENST00000594060
ENSG00000070770	CSNK2A2	ENST00000262506
ENSG00000219545	RPA3-AS1	ENST00000406829
ENSG00000171402	XAGE3	ENST00000346279
ENSG00000261609	GAN	ENST00000568107
ENSG00000169744	LDB2	ENST00000304523
ENSG00000124205	EDN3	ENST00000337938
ENSG00000261603	PRSS46	ENST00000463091
ENSG00000177565	TBL1XR1	ENST00000430069
ENSG00000100426	ZBED4	ENST00000216268
ENSG00000168298	HIST1H1E	ENST00000304218
ENSG00000059804	SLC2A3	ENST00000075120
ENSG00000168297	PXK	ENST00000356151
ENSG00000251692	PTX4	ENST00000293922
ENSG00000168291	PDHB	ENST00000302746
ENSG00000175707	C1orf172	ENST00000320567
ENSG00000105879	CBLL1	ENST00000440859
ENSG00000181915	ADO	ENST00000373783
ENSG00000120903	CHRNA2	ENST00000407991
ENSG00000085117	CD82	ENST00000227155
ENSG00000105877	DNAH11	ENST00000409508
ENSG00000105875	WDR91	ENST00000354475
ENSG00000135074	ADAM19	ENST00000257527
ENSG00000119138	KLF9	ENST00000377126
ENSG00000135077	HAVCR2	ENST00000307851
ENSG00000131023	LATS1	ENST00000543571
ENSG00000057294	PKP2	ENST00000070846
ENSG00000112144	ICK	ENST00000356971
ENSG00000131759	RARA	ENST00000254066
ENSG00000142279	WTIP	ENST00000590071
ENSG00000146083	RNF44	ENST00000274811
ENSG00000136250	AOAH	ENST00000258749
ENSG00000149792	MRPL49	ENST00000279242
ENSG00000149021	SCGB1A1	ENST00000278282
ENSG00000146085	MUT	ENST00000274813
ENSG00000132591	ERAL1	ENST00000254928
ENSG00000139044	B4GALNT3	ENST00000266383
ENSG00000161082	CELF5	ENST00000292672
ENSG00000149798	CDC42EP2	ENST00000544348
ENSG00000177700	POLR2L	ENST00000322028
ENSG00000183054	RGPD6	ENST00000329516
ENSG00000177706	FAM20C	ENST00000313766
ENSG00000177707	PVRL3	ENST00000485303
ENSG00000203870	SMIM9	ENST00000369529
ENSG00000181562	EDDM3A	ENST00000326842
ENSG00000239998	LILRA2	ENST00000251377
ENSG00000110944	IL23A	ENST00000228534
ENSG00000250565	ATP6V1E2	ENST00000306448
ENSG00000121716	PILRB	ENST00000610247
ENSG00000187961	KLHL17	ENST00000338591
ENSG00000147689	FAM83A	ENST00000518448
ENSG00000147687	TATDN1	ENST00000276692
ENSG00000147684	NDUFB9	ENST00000276689
ENSG00000125409	TEKT3	ENST00000395930
ENSG00000187969	ZCCHC13	ENST00000339534
ENSG00000188342	GTF2F2	ENST00000340473
ENSG00000188343	FAM92A1	ENST00000518322
ENSG00000188340	OR6N2	ENST00000339258
ENSG00000147174	ACRC	ENST00000373695
ENSG00000082068	WDR70	ENST00000265107
ENSG00000135617	PRADC1	ENST00000258083
ENSG00000162849	KIF26B	ENST00000407071
ENSG00000114520	SNX4	ENST00000251775
ENSG00000166839	ANKDD1A	ENST00000380230
ENSG00000130731	C16orf13	ENST00000397666
ENSG00000145198	VWA5B2	ENST00000426955
ENSG00000149243	KLHL35	ENST00000539798
ENSG00000184702	SEPT5	ENST00000455784
ENSG00000181610	MRPS23	ENST00000313608
ENSG00000169813	HNRNPF	ENST00000443950
ENSG00000145191	EIF2B5	ENST00000273783
ENSG00000145192	AHSG	ENST00000411641
ENSG00000069956	MAPK6	ENST00000261845
ENSG00000145194	ECE2	ENST00000402825
ENSG00000115694	STK25	ENST00000316586
ENSG00000169814	BTD	ENST00000437172
ENSG00000163462	TRIM46	ENST00000334634
ENSG00000214114	MYCBP	ENST00000397572
ENSG00000163464	CXCR1	ENST00000295683
ENSG00000084710	EFR3B	ENST00000403714
ENSG00000163467	TSACC	ENST00000368255
ENSG00000163468	CCT3	ENST00000295688
ENSG00000167741	GGT6	ENST00000574154
ENSG00000141682	PMAIP1	ENST00000316660
ENSG00000048471	SNX29	ENST00000566228
ENSG00000105290	APLP1	ENST00000221891
ENSG00000162599	NFIA	ENST00000371189
ENSG00000162598	C1orf87	ENST00000371201
ENSG00000109736	MFSD10	ENST00000329687
